ca 1685
cak 3
cakās 1
cakora 2
cakra 14
cakrapāṇi 1
cakravartin 31
cakravartinī 1
cakṣus 41
cakṣu 1
cakṣuṣmant 1
caṅkrama 1
caṅkramaṇa 1
cañcū 1
cañcu 6
cañc 3
cañcala 4
caṭaka 1
caṭacaṭā 1
caṭula 2
caṇḍa 25
caṇḍasiṃha 11
caṇḍāla 8
caṇḍikā 2
caṇḍeśvara 1
catura 13
catur 21
caturguṇa 5
caturtha 2
caturdaśa 1
caturdaśī 1
caturdaśan 2
caturvarga 1
caturvidha 2
catuṣṭaya 5
catuṣpañca 1
catuṣpada 1
catuḥṣaṣṭi 4
catvara 2
candana 12
candra 15
candraka 3
candrakānta 2
candraprakāśa 1
candramas 2
candravaktra 1
candrikā 13
candrikāprakaṭā 1
capala 7
camū 2
campā 33
campaka 5
cara 3
cara 7
car 14
caraṇa 26
caraṇa 1
carita 19
caritārtha 1
carman 11
cal 11
cala 3
calatva 1
calay 5
caṣaka 1
cāṭu 1
cāṭa 1
cāṇḍālī 1
cātaka 1
cāturāśramya 1
cāturya 2
cāturvarṇya 1
cāpa 2
cāpala 2
cāmara 9
cāmīkara 1
cārin 10
cāra 4
cāru 10
cāraṇa 2
cāray 1
cāritra 2
cārutara 1
ci 1
cikits 1
cikitsā 4
cikitsaka 4
cikitsita 5
cikīrṣ 1
cikīrṣu 1
cikhalla 1
cit 1
citā 4
citta 30
citra 16
citra 35
citrakara 1
citrakarman 2
citralekhā 1
citraśālā 1
citrīy 5
cintā 26
cintana 1
cintay 56
cintāmaṇi 3
cintāvant 1
cira 9
cirantana 1
ciram 68
cirāt 23
cireṇa 1
cihna 9
cīna 2
cīvara 4
cumbana 1
ceṭikā 1
cetas 45
cetanā 9
cetanāvant 1
cetay 5
cetaska 3
cetasyā 2
cetasya 12
ced 26
cedi 4
cela 1
ceṣṭ 1
ceṣṭa 1
ceṣṭā 1
ceṣṭita 2
coday 8
caura 9
cūḍā 1
cūḍāmaṇi 1
cūta 3
cyāvay 1
cyu 6
cyuti 1
