makara 7
makarānana 1
magadha 3
maghavan 1
maṅgala 10
maṅgala 2
majj 7
majjana 2
mañca 2
mañjarī 3
mañjukā 1
maṇi 10
maṇḍa 3
maṇḍana 10
maṇḍapa 13
maṇḍay 3
maṇḍala 41
maṇḍalikā 1
maṇḍalita 1
maṇḍūka 2
mata 8
mati 15
mataṃga 3
matkuṇa 1
matsara 2
math 2
mathurā 6
mad 15
mada 25
mad 1849
madana 1
madanamañcukā 1
madanamañjukā 15
maday 1
madirā 7
madīya 22
madgu 1
madya 5
madvidha 2
madhu 31
madhukara 2
madhukarī 1
madhura 22
madhuraka 1
madhusūdana 1
madhūka 1
madhūcchiṣṭa 1
madhya 2
madhya 14
madhyama 6
madhyastha 4
madhyaṃdina 2
madhye 7
man 41
manu 4
manas 47
manasvin 1
manaḥputrikā 2
manaḥputrika 2
manāk 13
manīṣita 1
manuja 1
manuṣya 10
manuṣyaka 1
manuṣyadharman 1
manobhava 1
manoratha 18
manorama 2
manoramā 2
manohara 17
manohara 8
manohārin 2
mantra 18
mantrin 36
mantray 11
mantha 1
manthara 16
manthara 6
mantharita 1
manda 40
mandaka 1
mandatara 1
mandapuṇya 2
mandabhāgya 2
mandara 2
mandāy 1
mandāra 1
mandira 24
mandīkṛ 1
mandra 4
manmatha 4
manyu 2
maya 15
maya 2
mayūra 3
maraṇa 15
marica 1
marīci 2
marut 10
marubhūtika 33
markaṭa 2
mardaka 1
mardana 2
marman 1
maryādā 1
malaya 2
malayāvatī 1
malina 3
malīmasa 5
malla 3
mallaka 1
mallikā 3
maṣi 2
maskarin 2
maskara 3
mastaka 10
maha 1
mahant 64
mahī 19
mahattama 1
mahadinna 1
mahadinnā 3
maharddhika 1
mahā 123
mahākalpa 1
mahākāla 14
mahākāvya 1
mahāgaurī 4
mahātman 9
mahādeva 1
mahānasa 1
mahāpadma 1
mahāpātaka 1
mahābhūta 1
mahāmātra 1
mahāmāṃsa 1
mahārṇava 1
mahālaya 1
mahāvidyā 1
mahāsāra 1
mahāsiṃha 2
mahāsena 11
mahita 1
mahiṣī 3
mahiṣa 3
mahīpati 9
mahīpāla 19
mahībhuj 5
mahībhṛt 1
mahendra 1
maheśvara 1
mahodadhi 4
mahauṣadhī 1
mā 1
mā 80
māgadhī 7
māgadha 1
māṇava 1
māṇavikā 1
mātṛ 62
mātā 2
mātariśvan 1
mātaṃgī 8
mātaṃga 28
mātāmaha 2
mātāmahī 1
mātula 14
mātṛkā 7
mātra 44
mātrā 1
mātraka 3
mādṛś 13
mādṛśa 19
mādhavī 10
mādhava 2
mādhurya 2
mānin 3
māna 4
mānay 4
mānava 2
mānasa 4
mānasa 34
mānasavega 19
mānasavegaka 1
mānuṣa 7
mānuṣa 13
mānuṣī 4
mānuṣaka 2
māndya 2
māmaka 6
māmaka 1
māyā 2
māra 1
māraka 1
māray 2
māruta 4
mārga 20
mārgaṇa 1
mārgay 4
mārjāra 1
mālā 24
māla 1
mālatī 4
mālavaka 1
mālākāra 1
mālikā 2
mālya 8
mās 1
māsa 10
māhātmya 2
māhendra 1
māheśvara 2
māṃsa 8
māṃsaka 1
māṃsavivardhanī 1
mitra 44
mitravatī 7
mitravarman 13
mitrīy 1
mithas 3
mithuna 2
mithyā 9
mithyādṛṣṭi 1
mil 2
miśra 1
mīna 1
mīmāṃs 1
mīlay 2
mukuṭa 3
mukula 4
mukulita 1
muktā 11
muktahasta 1
mukha 2
mukha 52
mukhara 4
mukhya 2
mugdhā 1
muc 73
muṇḍa 1
muṇḍita 1
mud 8
mud 9
mudā 1
mudgara 1
mudrā 4
mudrikālatā 2
mudrikālatikā 4
mudhā 3
muni 23
mumukṣu 4
mumūrṣ 1
muṣ 7
muṣṭi 3
musāra 1
mustā 2
muh 32
muhur 7
muhūrta 17
muhūrtaka 5
mṛ 31
mṛga 15
mṛgatṛṣṇikā 1
mṛgay 4
mṛgayu 1
mṛgayā 5
mṛgayāvatī 2
mṛgājina 3
mṛgendra 4
mṛgendrāsana 2
mṛj 2
mṛjā 1
mṛṇālī 3
mṛṇāla 4
mṛṇālinī 2
mṛtasaṃjīvanī 1
mṛtasaṃjīvinī 1
mṛttikā 3
mṛtyu 9
mṛd 3
mṛdu 10
mṛdaṅga 2
mṛṣ 4
mṛṣā 8
mṛṣāvāda 1
mekhala 1
mekhalā 9
megha 4
megharājī 2
megharājikā 1
medinī 6
medinīpati 3
medura 1
medhas 1
medhāvin 1
medhya 1
menakā 2
meru 13
meṣa 1
maitrī 3
moktukāma 1
mokṣu 2
mokṣa 11
mocay 6
moda 1
modaka 6
moha 11
mohay 1
mauktika 6
mauna 1
maurvī 1
mauhūrta 1
mūka 7
mūḍhaka 2
mrakṣita 1
mūrkha 2
mūrch 2
mūrchā 7
mūrchana 1
mūrchay 2
mūrti 1
mūrtimant 2
mūrdhan 27
mūrdhaja 7
mūla 21
mūladeva 1
mlā 13
mlāpay 1
mleccha 1
mūlya 16
mūṣaka 1
mūṣika 5
