raktin 1
rakta 33
rakta 106
raktanāla 1
raktapittin 10
raktapitta 55
raktapittacikitsita 1
raktapittanidāna 1
raktapittika 1
raktamaṇḍala 1
raktamehin 1
raktameha 1
raktamokṣaṇa 1
raktayoni 1
raktavartmaka 1
raktaśāli 6
raktaśīrṣaka 1
raktākṣa 1
rakṣ 8
rakṣā 5
rakṣas 6
rakṣaṇa 1
rajas 31
rajata 7
rajanī 1
rajanīcara 1
rajasvalā 3
rajju 1
rañj 2
rañjana 2
rati 7
ratna 8
ratha 6
rathin 1
ram 3
ramya 4
ravi 2
raśmi 2
rasa 432
rasatas 1
rasana 10
rasameha 2
rasavant 2
rasavimāna 1
rasāñjana 2
rasāyana 2
rasāyana 68
rasāyanī 1
rasālā 1
rasika 1
rasona 1
rahas 1
rahaskāma 1
rahaskāmatā 1
rahasya 2
rākṣasa 1
rākṣasa 7
rāga 20
rājan 13
rāja 2
rāji 2
rājī 4
rājakaśeruka 1
rājakaseru 1
rājakṣavaka 3
rājata 5
rājadhānī 1
rājanya 3
rājamātra 2
rājamāṣa 1
rājayakṣmin 1
rājayakṣman 10
rājarṣi 2
rājasa 6
rājādana 4
rājimant 4
rātra 25
rātri 17
rātraka 1
rāma 1
rāśi 21
rāṣṭra 1
rāsnā 11
rāhu 1
riktā 1
ric 1
ripu 1
rīti 1
ruci 20
rucaka 1
rucira 1
rucya 1
ruj 6
ruj 32
rujā 19
ruta 2
rud 3
rudita 2
rudra 4
rudh 3
rudhira 25
ruru 2
ruṣ 1
ruh 2
reṇu 1
retas 20
rogin 10
roga 274
rogabhiṣagjitīya 1
rogarāj 1
rogānīka 1
rocana 1
rocana 7
rocanā 1
rocay 5
rodana 2
rodhin 1
rodha 1
ropaṇa 1
ropay 1
roman 10
romaka 1
romakūpa 1
romarājī 1
romaharṣa 2
romāñca 1
roṣa 5
rohiṇī 11
rohiṇīka 1
rohita 4
raukma 1
raukṣya 24
raudra 5
raudhira 4
raurava 1
rauhiṇīka 1
rūkṣa 121
rūkṣaṇa 7
rūkṣay 4
rūpa 98
rūpin 1
rūpya 2
