e 5
ekaka 1
eka 1
eka 225
ekatra 4
ekatva 7
ekadeśa 1
ekamanas 2
ekarasa 1
ekavidha 3
ekaviṃśati 2
ekaśas 5
ekādaśa 2
ekādaśan 3
ekānta 5
ekāntataḥ 1
ekāntena 2
ekīkṛ 2
ekaika 16
ekaikaśas 7
ekaikaśya 3
ekona 1
ekonacatvāriṃśat 2
ekonatriṃśat 1
ekonaviṃśati 1
eḍaka 1
eḍagaja 4
eṇa 9
eṇīpada 1
etad 345
etāvant 17
enad 84
erakā 2
eraṇḍa 15
ervāruka 3
elā 20
elavāluka 4
elāparṇī 1
eva 756
evam 160
evamādi 8
evamprabhāva 1
evaṃgata 2
evaṃguṇa 12
evaṃdravya 1
evaṃnāman 1
evaṃprakāra 2
evaṃprabhṛti 1
evaṃbhūta 1
evaṃlakṣaṇa 2
evaṃvādin 11
evaṃvidha 33
eṣin 7
