ca 780
cak 2
cakra 2
cakravartin 2
cakravāka 26
cakṣus 9
cañcu 8
cañcala 2
catur 7
caturguṇa 2
caturtha 1
caturdaśī 2
caturvarga 2
caturvidha 1
catuṣṭaya 5
candana 2
candra 8
candrabhāgā 1
candramas 2
candramauli 1
candraśekhara 1
candrasaras 1
capala 4
capala 1
capalatā 1
campakā 1
campaka 1
campakavatī 1
cara 2
cara 3
car 18
caraṇa 5
carita 1
carcā 7
carman 5
cal 21
cala 1
cāṭu 1
cāṇakya 1
cāṇḍāla 1
cāndrāyaṇa 2
cāpa 1
cāmara 1
cārin 1
cāra 2
cālana 1
citi 1
citta 9
citra 3
citra 6
citrakarṇa 5
citragrīva 14
citravana 1
citravarṇa 19
citrāṅga 6
citrita 1
cintā 5
cintay 35
cira 11
ciram 11
cirāt 8
cihna 2
cītkāra 4
cud 1
cumb 1
cumbana 1
cetas 5
ced 13
cedi 1
ceṣṭ 2
ceṣṭā 3
cora 1
caura 2
caurikā 1
cūḍā 1
cūḍākarṇa 4
cūḍāmaṇi 5
cyu 1
