da 2
dakṣa 4
dakṣa 2
dakṣiṇa 5
dakṣiṇīkṛ 1
dakṣiṇetara 2
daṇḍa 3
dantin 2
danta 3
dantavāsas 1
dampati 2
dayā 2
dayitā 2
darī 3
darīmukha 2
darpa 1
darpaṇa 2
darbha 1
darśin 2
darśaka 1
darśana 11
darśay 3
daśā 2
daśana 1
daśanacchada 1
dah 3
daṃś 3
daṃṣṭrin 1
daṃṣṭra 1
dā 11
dātṛ 2
dāna 2
dāman 2
dāra 2
dāruṇa 1
dāsa 1
dāsya 1
digambara 1
digīśa 1
digvāraṇa 2
diṅnāga 1
diṅmukha 1
didṛkṣu 2
didṛkṣā 1
dina 4
div 7
divasa 4
divasātyaya 1
divā 2
divākara 2
divātana 1
divāniśam 1
divaukas 2
divya 1
diś 11
diṣṭi 1
dih 1
dīkṣā 4
dīdhitimant 2
dīpa 2
dīpana 1
dīrgha 5
dīrghikā 1
dīrghīkṛ 1
du 3
dukūla 7
durjana 1
durdina 1
durnimita 1
durlabha 4
durvaha 2
durvāra 1
duścara 1
duṣprekṣya 1
duh 1
duhitṛ 6
duḥkha 6
duḥkhita 1
duḥsaha 1
dṛḍha 1
dṛś 25
dṛṣṭi 10
deva 15
devatā 6
devadāru 4
devadeva 1
devarṣi 1
deśa 4
deha 4
dehin 2
daitya 1
dainya 1
dogdhṛ 1
doṣa 4
dos 1
doha 1
dohada 1
dūtī 1
dūta 1
dyuti 3
dyotin 1
dyotay 1
dūra 1
dūram 5
drava 1
dravya 1
dūrāt 1
druma 10
dūrvā 1
dūrvāvant 1
dvaya 10
dvaṃdva 2
dvāra 5
dvāḥstha 1
dvi 4
dviguṇa 3
dvija 1
dvijanman 1
dvijāti 2
dvijottama 1
dvitīya 3
dvidhā 1
dvipa 1
dvirada 1
dvirepha 7
dviṣ 1
dviṣ 2
dvis 1
