tā 13
taṭāka 2
taḍāga 2
taṇḍula 4
tatas 22
tattva 6
tatpara 2
tatra 81
tathā 101
tathāvidha 1
tathya 2
tad 627
tadā 19
tadvat 2
tantu 2
tap 1
tapas 1
tapasvin 4
tarka 1
taskara 1
tasmāt 14
tāḍana 8
tāmarasa 1
tāray 1
tāla 1
tālu 1
tāvant 3
tāvat 4
tithi 1
tiryañc 1
tiryagyoni 1
tīrita 1
tīrtha 2
tīvra 3
tu 470
turya 1
tulā 5
tulya 2
tuṣ 1
tuṣṭi 2
tṛtīya 4
tṛp 1
tṛṣā 1
tejas 1
tena 7
taila 1
toya 3
toraṇa 1
toṣa 1
taulya 1
tyaj 12
tyāga 2
trapusī 1
traya 6
trāṇa 1
tri 32
triguṇa 1
tripuruṣa 2
trividha 5
tris 1
triṃśat 3
triṃśadguṇa 1
traividya 3
tva 31
tvad 5
