ka 17
kakārādika 1
kakārādi 2
kaṅkaṇā 1
kaṅkuṣṭha 12
kaṅkola 1
kaṅgu 1
kaṅguṇī 2
kaca 1
kacchapa 1
kacchapayantra 2
kajjali 1
kajjala 4
kajjalī 17
kajjalikā 4
kajjalīkṛ 1
kajjalībandha 1
kañcuka 4
kañcolī 1
kaṭu 2
kaṭu 6
kaṭi 3
kaṭaka 2
kaṭatra 1
kaṭāha 2
kaṭuka 2
kaṭukā 1
kaṭuka 4
kaṭukālābu 1
kaṭutumbī 2
kaṭutumbikā 2
kaṭutaila 1
kaṭutraya 2
kaṭutrika 1
kaṭutva 1
kaṭulābu 1
kaṭora 1
kaṭorikā 1
kaṭphala 2
kaṭhina 2
kaṭhilla 1
kaṭhillaka 1
kaṭhora 1
kaṭhoraka 1
kaḍāra 1
kaḍāraka 1
kaṇa 5
kaṇā 10
kaṇavīrakā 2
kaṇaśas 1
kaṇṭakavedhya 1
kaṇṭakārī 3
kaṇṭavedhya 1
kaṇṭārī 2
kaṇṭha 10
kaṇṭhokti 1
kaṇṭhya 1
kaṇḍu 1
kaṇḍū 1
kaṇḍaṇī 1
kaṇḍay 2
kaṇḍarā 1
kaṇḍūti 1
kataka 2
katicid 2
katham 2
kathay 18
kathaṃcid 1
kadala 12
kadācana 3
kadācid 1
kanaka 5
kanaka 7
kanakasundara 3
kaniṣṭha 5
kanda 12
kandara 1
kanduka 4
kandukayantra 1
kanyā 5
kanyakā 4
kaparda 3
kapardikā 1
kapāṭa 2
kapālin 1
kapāla 1
kapikacchu 2
kapittha 1
kapitthaka 1
kapila 1
kapila 2
kapiśa 1
kapota 5
kapotapuṭa 1
kapha 34
kamaṭha 1
kamanīya 1
kamala 1
kampa 3
kampilla 1
kampillaka 3
kambā 1
kambu 1
kambali 1
kambukā 1
kara 35
karin 1
kara 2
karañja 3
karañjaka 1
karaṇa 2
karaṇa 6
karaṇḍa 4
karaṇḍaka 5
karabha 1
karavanda 1
karavālabhairava 1
karavīra 1
karahāṭikā 1
kariṇī 1
karīra 3
karīṣa 3
karīṣaka 1
karuṇā 2
karkaṭī 5
karkaśa 4
karkāru 1
karkoṭī 3
karkoṭaka 1
karkoṭikā 2
karṇa 4
karṇamoṭī 1
karṇikā 2
karṇikāra 3
kartṛ 2
karpūra 5
karpūragandhinī 1
karbura 1
karman 26
karṣa 28
karṣaka 4
karṣay 1
kala 1
kalā 7
kalay 1
kalaśī 1
kalaśa 2
kalāpin 1
kalāpa 1
kalāya 1
kaliṅga 1
kaliṅgaka 1
kalka 21
kalkabaddha 1
kalkabandha 1
kalkīkṛ 1
kalpa 7
kalpay 1
kavala 1
kavalagraha 1
kavalita 1
kaścid 19
kaṣa 1
kaṣāya 16
kaṣāya 6
kaṣāyaka 2
kasana 2
kastūrī 1
kākacaṇḍīśvara 1
kākajaṅghā 1
kākatuṇḍī 5
kākamācī 4
kākavandhyā 1
kākiṇī 1
kākinī 1
kākodumbarikā 1
kāṅkṣ 1
kāṅkṣī 3
kāca 7
kāca 4
kācakūpī 1
kāñcana 1
kāñcanī 1
kāñcanāra 2
kāñjika 27
kāṭhinya 1
kāṇḍa 2
kāṇḍavallī 1
kādi 2
kānanotpala 1
kānta 2
kānti 7
kānta 31
kāntaka 1
kāntapāṣāṇa 3
kāntarasa 1
kāntaloha 1
kāntalohaka 1
kāntābhra 1
kānyakubja 1
kāpālika 2
kāma 6
kāmay 1
kāmalā 6
kāmātā 1
kāmāri 1
kāminī 1
kāmbojī 1
kāmbojikā 1
kāya 2
kārin 6
kāra 1
kāraka 11
kārī 1
kāraṇa 1
kāray 11
kāravallī 4
kāravellī 2
kāravella 2
kāravellaka 4
kārkaśya 1
kārttika 1
kārpāsa 1
kārya 2
kārśya 2
kārṣṇya 1
kālī 1
kāla 7
kālakūṭa 2
kālayavana 1
kālaloha 1
kālāyasa 1
kālinī 3
kālīna 1
kāluṣya 1
kāśa 1
kāṣṭha 11
kāsin 1
kāsa 44
kāsamarda 4
kāsaharī 1
kāsīsa 10
kāhala 1
kāṃsya 13
kāṃsyavimala 1
kiñjalka 1
kiṭṭa 14
kiṭṭaka 1
kiyatkālam 1
kirāta 1
kila 4
kiṃnarī 1
kiṃnara 1
kiṃśuka 1
kīrapriya 1
kīrtay 9
kukkuṭī 1
kukkuṭa 4
kukkuṭaka 1
kukkuṭāṇḍa 1
kukṣi 2
kuṅkuma 2
kuca 1
kuñcay 1
kuṭaja 5
kuṭṭay 3
kuḍava 3
kuḍya 2
kuṇṭha 2
kuṇṭha 1
kuṇḍī 1
kuṇḍa 3
kuṇḍalī 2
kutracid 2
kunaṭī 6
kunta 1
kuntavedha 1
kunda 1
kup 1
kupikā 1
kumāra 1
kumārī 8
kumāraka 1
kumudī 2
kumbha 5
kumbhī 4
kumbhapuṭa 1
kuruṇṭaka 1
kuruvinda 1
kula 2
kulaka 1
kulattha 11
kulāla 1
kulittha 1
kulīna 1
kulīra 1
kuśala 3
kuśeśaya 1
kuṣṭha 31
kuṣṭha 2
kusuma 1
kusumbha 3
kusumbhaka 2
kustumbarī 2
kṛ 186
kṛcchra 1
kṛta 1
kṛt 17
kṛtakṛtya 1
kṛtamadā 1
kṛtya 1
kṛtrima 3
kṛtrima 1
kṛtvas 4
kṛtsna 1
kṛntana 1
kṛpā 2
kṛmi 7
kṛśānu 4
kṛṣ 2
kṛṣṭī 2
kṛṣṇā 2
kṛṣṇa 30
kṛṣṇadeva 1
kṛṣṇapakṣa 1
kṛṣṇamṛtsnā 1
kṛṣṇamṛd 1
kṛṣṇalavaṇa 1
kṛṣṇavarga 1
k±p 1
ketakī 2
kevala 4
keśa 3
keśava 1
keśya 1
kesara 1
kailāsa 2
kokila 7
kokilā 1
kokilākṣa 3
koṭi 8
koṭiśas 2
koṇa 6
koṇaka 1
kodrava 3
kopa 2
kopay 1
komala 3
koraṇṭa 1
kola 7
kola 3
kolaka 1
kovida 1
kośātakī 2
koṣātakī 1
koṣṭhī 11
koṣṭha 1
koṣṭhaka 1
koṣṭhikā 4
koṣṭhīyantra 1
kaukkuṭa 1
kautukin 1
kauntī 1
kaulāla 1
kauśika 1
kūṭa 1
kūpī 6
kūpa 7
kūpika 1
kūpikā 7
kratu 2
kram 2
krama 17
kramaśas 3
kramāt 12
krameṇa 7
kravyāda 2
krāmaṇa 1
kriyā 6
kriyātantra 1
kriyāhīna 2
krīḍ 1
krīṇita 1
krudh 2
kroḍa 1
kroḍapuṭa 1
krauñcī 2
krauñcikā 5
kūrpara 1
kūrma 1
klid 3
kleśa 1
kvacid 2
kvath 1
kvathita 4
kvātha 38
kvāthaka 2
kvāthay 4
kṣaṇa 17
kṣata 1
kṣataja 1
kṣatriya 1
kṣapaṇa 1
kṣapay 1
kṣam 1
kṣama 4
kṣaya 46
kṣāra 2
kṣāra 49
kṣāratraya 1
kṣāradvaya 1
kṣārapañcaka 1
kṣārabandha 1
kṣāravarga 1
kṣālana 1
kṣālay 4
kṣi 4
kṣiti 2
kṣiti 3
kṣip 93
kṣipram 2
kṣīra 35
kṣīrasāgara 2
kṣīrābdhi 1
kṣīriṇī 2
kṣud 1
kṣudra 2
kṣudraroga 1
kṣudh 4
kṣudhā 1
kṣura 1
kṣurapra 1
kṣetra 4
kṣetrīkaraṇa 1
kṣepa 6
kṣepaka 1
kṣepaṇa 2
kṣeṃ 1
kṣoṇī 1
kṣoṇināgaka 1
kṣoṇipāla 1
kṣobha 2
kṣaudra 19
kṣmaḥ 1
kūṣmāṇḍa 7
kūṣmāṇḍaka 1
