tā 9
taṇḍulīyaka 1
tatas 33
tatra 47
tathā 56
tad 437
tadā 8
tadvat 6
tap 3
taptakhalva 3
taraṇa 1
taraṃgiṇī 1
taruṇī 1
tarkay 1
tarjanī 1
tarhi 1
tala 20
tāḍana 2
tāḍay 1
tādṛś 2
tādṛśa 10
tāpa 7
tāpya 3
tāmbūlī 1
tāmra 30
tāra 25
tāratamya 1
tāramākṣika 2
tārkṣya 1
tāla 2
tāvant 1
tāvat 6
tiraścīna 2
tiryañc 7
tiryakpātana 1
tiryakpātanayantra 1
tīkṣṇa 12
tīkṣṇa 1
tīkṣṇaloha 3
tīvra 2
tu 88
tuttha 1
tutthaka 1
tulā 1
tulay 1
tulya 10
tuṣa 15
tṛ 3
tṛṇa 3
tṛtīya 2
tejin 1
tejas 2
tejasvin 2
tena 6
taijasa 1
taila 2
toya 5
toyamṛd 1
tyaj 1
traya 10
trayodaśa 1
trāsa 2
tri 19
triguṇa 1
tridhā 1
triphalā 3
trirūpa 1
trividha 4
tris 1
triṃśat 2
triṃśattama 1
truṭiśas 2
trailokyasundara 1
tryūṣaṇa 5
tva 71
tvac 3
tvar 1
