yakṛt 2
yakṣa 82
yakṣī 8
yakṣarāj 1
yakṣiṇī 2
yakṣendra 1
yaj 54
yajamāna 4
yajurveda 1
yajña 154
yajñakopa 4
yajñavibhūtī 1
yajñaśatru 2
yajñahana 2
yajñāyudha 1
yajñiya 6
yajñīya 1
yajñopavīta 1
yajvan 3
yat 12
yat 150
yatas 22
yatomūla 2
yatkṛte 7
yatna 42
yatnatas 1
yatnavant 3
yatra 201
yathā 765
yathākalpam 3
yathākāma 14
yathākāla 4
yathākālam 2
yathākramam 8
yathākrameṇa 1
yathākṣipram 1
yathākṣemeṇa 1
yathāgata 21
yathāgama 1
yathājñapti 1
yathātattvam 13
yathātatha 4
yathātathya 1
yathātathyam 3
yathānilayam 1
yathānyāyam 29
yathāpuram 7
yathāpradeśam 1
yathāprāṇam 2
yathāprāṇena 1
yathāpriyam 1
yathābalam 3
yathābuddhi 1
yathābhāgam 1
yathābhūtam 1
yathāmati 2
yathāmukhya 1
yathārtha 7
yathārūpa 4
yathārha 17
yathāvat 27
yathāvarṇa 1
yathāvidhi 23
yathāvṛtta 15
yathāvṛtta 1
yathāśakti 3
yathāśāstram 3
yathāsatyam 1
yathāsukham 27
yathāsthānam 1
yatheṣṭa 11
yathoktam 6
yathocita 4
yathoddeśam 1
yad 1589
yadartha 1
yadā 66
yadi 361
yadṛcchā 18
yadvat 1
yadvidha 2
yantṛ 1
yantrin 1
yantra 14
yantraka 1
yantray 9
yam 4
yama 93
yamāntaka 1
yamunā 17
yayāti 7
yava 1
yavakrīta 1
yavagodhūmavant 1
yavadvīpa 2
yavana 4
yavasa 2
yavīyas 15
yaśas 161
yaśaskara 8
yaśasya 7
yaśasvin 97
yaṣṭi 6
yaṣṭukāma 2
yasmāt 26
yā 253
yāc 51
yācaka 1
yācanā 2
yācitṛ 1
yācñā 1
yājin 1
yājaka 6
yājana 1
yājay 2
yātanā 1
yātay 1
yātayāma 1
yātudhāna 14
yātrā 11
yāthātathya 2
yādas 4
yādṛśa 4
yādṛśa 17
yāna 37
yānavant 1
yāma 2
yāmadundubhi 1
yāmuna 1
yāmya 4
yāyin 4
yāyajūka 1
yāvant 4
yāvat 91
yukti 3
yukta 22
yuktatā 1
yuktatva 1
yuktikara 1
yuktīkṛta 1
yuga 37
yugapad 11
yugānta 26
yugma 1
yugya 2
yuj 248
yuj 1
yuj 2
yuta 34
yuddha 310
yuddhonmatta 1
yudh 76
yudh 102
yudhājit 10
yuyuts 6
yuyutsu 6
yuyutsā 3
yuyutsu 2
yuvan 9
yuvati 2
yuvatī 2
yuvanāśva 5
yuvanāśvaja 1
yuvarāja 13
yuvarājan 2
yena 5
yoktṛ 2
yoktukāma 1
yoktra 1
yoga 29
yogakṣema 8
yogya 8
yojana 9
yojana 107
yojay 31
yoddhṛ 2
yoddhukāma 4
yodhin 16
yodhin 2
yodha 29
yodhay 4
yoni 14
yoṣit 30
yaugaṃdhara 1
yauvana 1
yauvana 32
yauvarājya 34
yūtha 45
yūthapa 150
yūpa 6
yūpākṣa 6
