baka 1
bakula 4
bakula 1
baḍiśa 10
badarī 8
badara 9
badara 5
baddhaguda 4
baddhagudin 1
baddhavartman 1
baddhaviṭkatā 1
badhira 5
bandha 46
bandhu 2
bandh 91
bandhana 21
bandhujīva 1
bandhujīvaka 1
bandhūka 2
babhru 1
babhru 3
barihiṣṭha 1
barhin 1
barha 2
barhiṇa 1
barhiṣṭha 5
balā 53
bala 267
balin 16
bali 25
balapati 1
balavant 49
balavattara 3
balākā 4
balātaila 9
balābala 3
balāsa 22
balāsaka 2
balāsagrathita 5
balāhaka 1
baliṣṭha 1
balīyas 4
balīy 1
balya 45
basta 17
bastagandhā 3
bastiśīrṣa 1
bahu 98
bahala 17
bahalavartman 2
bahirbhāga 1
bahiṣkṛ 1
bahis 16
bahiḥśīta 1
bahutā 1
bahutva 4
bahudhā 12
bahuputrī 1
bahuputrikā 1
bahula 28
bahuvarṇa 1
bahuvidha 3
bahuśas 43
bahuśruta 1
bākula 2
bāḍha 2
bāṇa 2
bādara 1
bādh 9
bādhā 2
bādhirya 15
bāndhava 3
bāla 1
bāla 37
bāla 44
bālaka 5
bālaka 2
bālagraha 1
bālamūlaka 2
bālya 1
bāṣpa 9
bāṣpikā 1
bāhu 41
bāhutā 1
bāhulya 19
bāhya 33
bāhyakin 1
bāhyatā 1
bāhyatas 5
bāhyāyāma 1
biḍāla 2
biḍālapadaka 1
bindu 17
bindurāji 1
bindula 1
bimbī 16
bimba 2
bimbītikā 1
bimbīloṭa 1
bilavāsa 1
bilaśāyin 2
bileśaya 5
bilva 72
bilva 11
bilvādi 1
bilvādika 1
bisa 19
bisagranthi 1
bisavartman 2
bījin 1
bīja 100
bījaka 3
bījaka 4
bījapūra 3
bījapūraka 5
bījapūrṇa 1
bījaratna 1
bībhatsa 2
buddhi 34
buddhitā 1
buddhimant 44
buddhīndriya 2
budbuda 6
budbuda 1
budbudaka 1
budbudavant 1
budh 5
budha 5
budha 16
bubhukṣ 5
bubhukṣā 3
busa 3
bṛhant 3
bṛhatī 51
bṛhatyādi 1
bṛṃhaṇa 54
bṛṃhaṇa 4
bṛṃhaṇīya 7
bṛṃhay 7
bṛṃhita 1
baiḍāla 2
bodhin 1
bodhana 4
bodhana 3
brū 29
brahman 1
brahman 22
brahmī 1
brahmacarya 8
brahmacārin 5
brahmacāriṇī 1
brahmaṇya 1
brahmarṣi 1
brahmavarcasin 2
brahmasuvarcalā 4
brāhmī 7
brāhma 2
brāhmaṇa 21
brāhmaṇikā 2
