mahāśauṣira 2
makara 3
makuṣṭha 2
makuṣṭhaka 2
makkalla 3
makṣikā 14
magadhā 7
magadha 1
magadhādi 1
magadhodbhavā 5
maghā 1
maṅgala 14
maṅgaladevatā 2
maṅgalavant 1
maṅgalya 2
maṅgalya 1
majj 4
majjā 4
majjan 88
majjānugata 3
mañcikā 1
mañjiṣṭhā 52
mañjiṣṭhāmehin 1
mañjiṣṭhikā 1
maṇi 22
maṇibandha 14
maṇibandhana 1
maṇḍa 5
maṇḍana 1
maṇḍalin 15
maṇḍala 2
maṇḍala 47
maṇḍalin 1
maṇḍalapucchaka 1
maṇḍalāgra 10
maṇḍodaka 2
maṇḍūkī 3
maṇḍūka 6
maṇḍūkaparṇī 7
maṇḍūra 1
mata 6
mati 17
matimant 45
matkuṇa 2
matsarin 1
matsya 41
matsyaṇḍikā 2
matsyākṣaka 1
math 12
mad 3
mada 51
mad 70
madana 46
madanavṛkṣaka 1
maday 2
madayantī 1
madayantikā 2
madātyaya 1
madirā 7
madgu 2
madya 81
madyapa 3
madhu 277
madhu 1
madhuka 161
madhuparṇikā 1
madhumastaka 2
madhumādhvīka 1
madhumehin 6
madhumeha 5
madhumehacikitsita 1
madhuyaṣṭi 1
madhura 9
madhura 1
madhura 364
madhuraka 3
madhuraka 2
madhuraka 6
madhuragaṇa 1
madhuratara 2
madhurasā 3
madhurībhū 2
madhurauṣadha 5
madhuśarkarā 7
madhuśigru 12
madhūka 1
madhūka 29
madhūcchiṣṭa 16
madhūdaka 2
madhya 38
madhya 1
madhya 87
madhyatas 2
madhyadeśa 2
madhyadeha 1
madhyabhāga 1
madhyama 28
madhyamā 7
madhyamāṅguli 2
madhyastha 3
madhyaṃdina 1
madhyāhna 9
madhyebhakta 2
madhūlī 1
madhūlikā 10
madhvāluka 1
madhvāsava 2
man 73
manu 1
manas 59
manaskānta 1
manaḥśilā 36
manīṣin 3
manuja 14
manuṣya 27
manuṣyadeva 1
manojña 10
manoratha 1
manorama 1
manohara 1
manohārin 1
manohvā 1
mantra 29
mantha 17
manthana 1
manthāna 1
manda 94
mandabhāgya 1
mandamandam 1
mandāgni 1
mandārī 1
mandira 1
mandīkṛ 2
manyā 21
manyāstambha 2
maya 27
mayūra 11
mayūraka 4
mayūrikā 1
maru 1
maraka 1
maraṇa 37
marica 63
marīci 1
marut 5
markaṭī 2
markaṭa 2
martya 15
mardaka 1
mardana 3
marday 2
marman 111
marmarikā 2
maryādā 3
mala 80
maladharā 1
malapū 2
malaya 5
malayaja 1
malādhāra 1
malina 8
mallikā 1
mallikākṣa 1
maśaka 6
maṣi 1
maṣaka 2
masī 8
mastu 22
mastaka 9
mastiṣka 4
mastiṣkya 3
mastuka 1
mastuluṅga 8
masūrī 11
masūrikā 5
mahant 3
mahant 85
mahī 5
mahatī 2
mahattva 3
mahā 79
mahākapota 1
mahākarambha 3
mahākalyāṇa 1
mahākāyā 1
mahākuṣṭha 3
mahākuṣṭhacikitsita 1
mahākṛṣṇa 3
mahāgada 4
mahāghṛta 2
mahātiktaka 1
mahātman 1
mahādūṣaka 1
mahādhana 2
mahānada 1
mahānasa 4
mahānimba 1
mahānīla 1
mahāpañcamūla 3
mahāpadma 1
mahāpanasa 1
mahāpuṣpa 1
mahābabhru 1
mahābhāga 1
mahābhūta 5
mahāmīna 1
mahāmeda 2
mahāvajraka 1
mahāvātavyādhi 1
mahāvātavyādhicikitsita 1
mahāviṣa 1
mahāvṛkṣa 15
mahāvegavatī 1
mahāvyāhṛti 1
mahāśāli 1
mahāśiras 1
mahāśūka 1
mahāśyāmā 1
mahāśrāvaṇī 2
mahāśvāsa 1
mahāśvetā 1
mahāṣaṣṭika 1
mahāsarpa 1
mahāsahā 3
mahāsugandhi 3
mahāsugandhā 1
mahāsoma 1
mahāhikkā 1
mahiṣī 2
mahiṣa 12
mahīkadamba 2
mahīdhara 1
mahīruha 1
mahendra 3
mahotsava 1
mahauṣadha 10
mahauṣadhī 1
mahauṣadhāyaskṛti 1
mā 8
mā 1
mākuli 2
mākṣika 50
mākṣīka 2
māgadhī 12
māgadhā 2
māgadhikā 21
māgadhikādi 1
māgha 2
māṅgalya 1
mācirāt 1
māṇaka 1
mātṛ 14
mātā 2
mātariśvan 3
mātaṃga 2
mātuluṅga 25
mātuluṅgā 5
mātṛkā 3
mātṛnindaka 1
mātra 90
mātrā 69
mātrāvant 5
mātrāvasti 1
mātsarya 3
mādana 1
mādhava 2
mādhava 1
mādhutailika 3
mādhurya 18
mādhvīka 3
mānin 1
māna 6
māna 5
mānaka 1
mānayitṛ 1
mānava 53
mānasa 16
mānasa 3
mānuṣa 2
mānuṣa 5
mānuṣī 1
mānuṣya 1
māndya 2
māyā 2
māyūra 1
māra 1
māraṇa 1
māray 4
māruta 121
mārutaparyaya 1
mārkaṇḍeya 1
mārkava 6
mārga 51
mārga 1
mārgaśīrṣa 1
mārjāra 8
mārdava 17
mārdvīka 5
mālā 1
mālaka 1
mālatī 15
mālāguṇā 2
mālya 17
māṣa 46
māṣaka 2
māṣaka 1
māṣaparṇī 1
mās 10
māsa 87
māsānumāsika 1
māsika 2
māsūra 2
māhātmya 1
māhānasika 1
māhiṣa 10
māhendra 2
māṃsī 11
māṃsa 350
māṃsakandī 4
māṃsaja 1
māṃsatāna 3
māṃsadharā 2
māṃsapāka 5
māṃsala 5
māṃsasaṃghāta 3
māṃsāda 1
māṃsārbuda 3
māṃsonnati 1
māṃsyāhvayā 1
mita 6
mitra 6
mithuna 1
mithyā 21
mithyāhāra 1
minmina 3
milindaka 1
miśra 48
miśraka 2
miśrakacikitsita 1
miśray 4
miṣṭa 1
misi 5
mih 14
mīna 2
mīmāṃsya 1
mīl 1
mukundaka 3
mukula 7
mukta 4
muktā 9
mukha 9
mukha 178
mukhatā 1
mukhadūṣikā 1
mukhapāka 1
mukhamaṇḍikā 2
mukhamaṇḍikāpratiṣedha 1
mukharogacikitsita 1
mukharogika 1
mukhasrāva 1
mukhāsrāva 1
mukhya 12
muc 39
mucuṇḍī 1
muculunda 1
muñja 2
muñjavant 4
muñjāta 1
muṇḍa 2
mud 3
mudga 66
mudgaparṇī 2
mudgara 1
mudrikā 1
muni 6
mumūrṣu 2
muraṅgī 5
murala 2
muruṅgī 1
muṣ 1
muṣka 22
muṣkaka 6
muṣkakacchū 1
muṣkakādi 4
muṣṭi 10
musala 3
mustā 64
mustaka 3
mustaka 2
mustādi 3
mustādika 1
muh 19
muhur 69
muhurmuhurgrāsa 1
muhuścārin 1
muhūrta 18
mṛ 30
mṛga 19
mṛgabhojinī 1
mṛgamātṛkā 2
mṛgamātṛka 1
mṛgādanī 4
mṛgervāru 1
mṛgervāruka 1
mṛj 1
mṛjā 4
mṛṇāla 17
mṛttikā 5
