nṛ 3
na 62
naktaṃbhojin 1
nakṣatra 4
nakha 5
nakhakeśikā 2
nagara 4
nagna 2
naṭī 6
nadī 10
nada 1
napuṃsaka 1
nabhastala 1
nam 1
namas 56
namaskṛ 2
nameru 1
nayana 2
narī 6
nara 18
nalinī 1
navan 1
nava 1
navanīta 2
navama 1
navamī 1
naś 9
naṃ 3
nāga 1
nāga 3
nāgakesara 3
nāgakesara 2
nāgadamanī 2
nāgapāśa 1
nāgara 2
nāḍī 1
nāḍikā 1
nānā 2
nābhi 2
nāman 24
nāma 5
nārī 3
nārada 1
nārikela 1
nāla 2
nāśa 2
nāśana 5
nāśay 5
nikṣip 1
nikṣepaṇa 1
nikhan 13
nikhātay 1
nija 2
nitya 2
nityam 8
nidhi 5
nidhā 3
nidhāna 2
nindaka 1
nipāta 2
nipātana 2
nipātay 1
nipātīkaraṇa 1
nibiḍa 1
nibhṛta 1
nimajj 1
nimantray 1
nimba 8
niyatam 6
niyama 2
niyojay 1
niram 1
nirāvaraṇa 1
nirṛti 1
nirūpay 1
nirbhaya 1
nirbhedaka 1
nirmala 1
nirmālya 2
nirmoka 1
niryāsa 4
nirvācay 1
nirviṣa 1
nirvyādhi 1
nirvraṇa 1
nivid 1
nivṛt 2
niveday 1
niś 4
niśā 1
niśācara 1
niśārdha 1
niścaya 2
niścala 1
niścitam 2
niśceṣṭa 1
niṣkāsay 2
niḥkṣip 5
nī 6
nīca 1
nīpa 1
nīra 1
nṛsiṃha 1
nṛsiṃhaceṭaka 1
netra 5
naivedya 4
no 1
nyagrodha 2
nyas 2
nyāya 1
