nṛ 2
na 168
nakula 2
nakta 2
nakṣatra 1
nakha 3
nagara 1
nagna 2
nadī 4
nandana 1
namaskāra 2
namaskṛ 1
nara 11
naraka 3
narādhipa 2
narendra 1
navan 4
nava 1
navama 1
naś 10
nastas 1
nasya 1
nāga 1
nāḍī 2
nāṇaka 2
nānā 1
nāndīmukha 1
nāpita 1
nābhi 3
nāmaka 1
nāman 7
nāma 3
nārī 1
nārāśaṃsī 1
nāśa 4
nāśana 1
nāśay 1
nāsā 4
nāsikā 2
nāstika 1
nāstikya 1
nikṣip 5
nikṣepa 2
nikhan 1
nigad 1
nigraha 2
nija 6
nityam 4
nidrālu 1
nidhi 3
ninī 2
nind 3
nindā 2
nipātana 2
nipātay 2
nipāna 1
nibandha 2
nibudh 2
nimajj 1
nimantray 1
nimitta 5
nimīlay 1
nimeṣa 1
nimna 1
nimba 1
niyam 4
niyama 1
niyuj 1
niyoga 1
niram 4
niras 1
niraṃśaka 1
nirātaṅka 1
nirāya 1
nirāhāra 1
nirghāta 1
nirjala 1
nirji 1
nirṇaya 1
nirṇij 1
nirdoṣa 1
nirdhū 1
nirbhuj 1
nirmā 1
nirlābha 1
nirvap 1
nirvartay 1
nirvāpay 1
nirvāsay 2
nirhṛ 1
nirheti 1
nivartay 1
nivas 2
nivāsa 1
nivṛt 2
niveday 3
niveśay 3
niś 1
niśā 4
niścala 1
niṣāda 1
niṣidh 2
niṣeka 1
niṣedha 1
niṣevaṇa 2
niṣka 1
niṣkalmaṣībhū 1
niṣkṛti 1
niṣkrama 1
niṣkraya 1
niṣṭhā 3
niṣṭhyūta 1
niṣṇāta 2
niṣūdaka 1
niṣpat 1
nistṛ 1
nihan 1
nihnava 5
nihnu 2
niḥśreyasa 1
niḥsāra 1
niḥsāray 1
niḥsṛ 2
niḥspṛha 1
niḥsrava 1
niḥsvana 1
nī 15
nīca 3
nīti 1
nīraja 1
nīla 3
nīvi 1
nīhāra 1
nṛtya 1
nṛpa 26
nṛpati 7
nṛśaṃsa 1
nejaka 1
netra 5
naigama 1
nairṛtī 1
nairṛta 1
naiveśika 2
naiśika 1
naiṣṭhika 1
no 5
nau 1
nyas 7
nyāya 7
nyāsa 1
nyubja 1
nyūna 1
