baka 1
bakula 1
bata 1
badarī 8
badara 3
baddhajāraṇā 1
baddhamukha 1
baddharāga 1
baddhavaktra 1
baddhāñjali 1
badhira 1
badhirīkṛ 1
bandha 61
bandhu 1
bandhin 16
bandh 159
bandhaka 7
bandhakārī 1
bandhana 8
bandhana 42
bandhay 35
bandhūka 1
babbūla 1
barbara 1
barbūrī 2
barhin 2
bala 2
balā 11
bala 114
balin 4
bali 27
balavant 9
balīyas 1
balya 7
bahu 27
bahala 1
bahirbhāga 2
bahiṣkṛ 1
bahis 34
bahukṣāra 1
bahudhā 9
bahunāda 1
bahuparṇī 1
bahupādikā 1
bahuputra 1
bahuputrī 1
bahuphalā 1
bahurasā 1
bahula 3
bahuvidha 3
bahuśas 5
bāṇa 4
bādi 1
bādara 2
bādh 7
bādhā 1
bāla 7
bāla 24
bālaka 4
bālakapriyā 1
bālakrīḍanaka 1
bālajāraṇā 2
bālabhaiṣajya 1
bālya 1
bāṣpa 4
bāhu 8
bāhuyuddha 1
bāhya 10
bāhyatas 2
bāhyadruti 3
biḍaka 1
biḍāla 2
biḍālaka 1
biḍālapada 2
bindu 27
binduka 2
binduphala 1
bindumant 1
bimbī 1
bimba 1
bimba 3
bila 8
bilva 9
bilvinī 2
bisa 2
bīja 247
bījaka 34
bījapūra 4
bījapūraka 1
bukkāṇa 1
buddhi 11
buddhimant 4
buddhīndriya 1
budbuda 1
budha 24
budharatna 1
bubhukṣ 1
bubhukṣu 1
bṛhant 1
bṛhatī 8
bṛhadvāruṇī 1
bṛhaspati 1
bṛṃhaṇa 1
bṛṃhay 1
bodhi 3
bodhilatā 1
bodhivallī 1
brū 21
brahman 6
brahman 80
brahmagiri 1
brahmacārin 1
brahmacārin 2
brahmadaṇḍa 1
brahmadaṇḍīya 1
brahmadru 1
brahmadvāra 2
brahmaniryāsa 1
brahmapattrī 2
brahmabila 2
brahmabīja 1
brahmabījaka 1
brahmarandhra 7
brahmarandhraka 1
brahmarīti 2
brahmavṛkṣa 13
brahmasomā 1
brahmāṇḍa 1
brahmānanda 1
brahmeśvara 1
brahmeśvara 3
brāhmī 14
brāhma 5
